Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Steps,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Snowshoeing,2025-03-04 14:05:19,false,"Matane MRC Snowshoeing","2.32","659","01:43:44","110","137","2.4","--","--","1.3","4.3","530","531","--","--","--","--","--","--","--","0.0","--","--","--","6,606","No","01:43:44","1","--","--","--","01:17:07","01:43:44","1,668","2,058"
Backcountry Skiing,2025-03-04 08:36:46,false,"Matane MRC Backcountry Skiing","2.92","1,083","02:37:04","113","155","3.1","--","--","1.1","11.1","1,108","1,092","--","--","--","--","--","--","--","0.0","--","--","--","4,664","No","02:37:04","1","--","--","--","01:12:35","02:37:04","1,953","2,522"
Running,2025-02-28 15:08:18,false,"Underhill Running","6.32","808","01:16:24","132","148","3.2","153","194","12:06","9:51","511","509","0.87","7.8","6.9","348","51.3% L / 48.7% R","12:05","261","0.0","254","380","--","11,606","No","00:05:15.7","7","34","21","41","01:15:47","01:16:24","645","872"
Backcountry Skiing,2025-02-26 16:42:36,false,"Cambridge Backcountry Skiing","2.56","533","00:41:20","150","168","4.2","--","--","3.7","21.3","1,038","1,039","--","--","--","--","--","--","--","0.0","--","--","--","2,922","No","00:41:20","1","37","22","45","00:38:58","00:50:02","1,176","2,216"
Indoor Rowing,2025-02-25 15:06:53,false,"Indoor Rowing","--","340","00:34:45","122","132","2.3","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","993","--","No","00:34:45","1","30","21","33","00:00:00","00:34:45","--","--"
Resort Skiing,2025-02-24 09:06:27,false,"Cambridge Resort Skiing","7.48","578","01:45:44","99","146","2.1","--","--","10.9","28.5","7,425","7,372","--","--","--","--","--","--","--","0.0","--","--","--","--","No","00:02:21.3","6","--","--","--","01:38:37","01:45:44","1,625","3,610"
Backcountry Skiing,2025-02-22 13:19:59,false,"Underhill Backcountry Skiing","3.30","1,049","01:40:32","134","156","3.8","--","--","2.0","17.4","1,009","1,002","--","--","--","--","--","--","--","0.0","--","--","--","3,702","No","01:40:32","1","--","--","--","01:10:14","01:50:59","1,201","2,219"
Backcountry Skiing,2025-02-21 15:28:57,false,"Underhill Backcountry Skiing","1.16","407","00:43:05","119","142","2.5","--","--","1.6","7.9","325","314","--","--","--","--","--","--","--","0.0","--","--","--","2,178","No","00:43:05","1","--","--","--","00:33:00","00:43:05","818","1,148"
Backcountry Skiing,2025-02-20 12:20:42,false,"Underhill Backcountry Skiing","3.04","1,104","02:08:45","126","149","3.2","--","--","1.4","11.0","1,213","1,171","--","--","--","--","--","--","--","0.0","--","--","--","4,296","No","02:08:45","1","30","20","43","01:15:21","02:08:45","1,397","2,615"
Backcountry Skiing,2025-02-19 16:52:04,false,"Cambridge Backcountry Skiing","2.52","495","00:47:00","132","169","3.7","--","--","3.2","24.6","1,042","1,052","--","--","--","--","--","--","--","0.0","--","--","--","3,046","No","00:47:00","1","--","--","--","00:41:07","00:53:02","1,159","2,205"
Backcountry Skiing,2025-02-19 13:32:11,false,"Underhill Backcountry Skiing","2.41","791","01:16:45","131","161","3.6","--","--","1.9","10.8","1,105","1,073","--","--","--","--","--","--","--","0.0","--","--","--","3,454","No","01:16:45","1","--","--","--","00:59:53","01:23:53","1,396","2,508"
